fileID,participant,f1,f2,vot,
ne02_kaka,ne02,590.84,1437.68,22.35,
ne02_kaka1,ne02,870.48,2209.19,62.94,
ne02_kaka2,ne02,77.98,1503.08,49.22,
ne02_keke,ne02,464.15,2408.32,26.46,
ne02_keke1,ne02,424.21,2481.53,43.16,
ne02_keke2,ne02,500.85,2243.07,25.40,
ne02_kiki,ne02,356.70,2691.05,56.36,
ne02_kiki1,ne02,343.97,2779.35,82.37,
ne02_kiki2,ne02,318.82,2783.60,48.37,
ne02_koko,ne02,553.42,1041.25,29.83,
ne02_koko1,ne02,404.32,1026.42,26.71,
ne02_koko2,ne02,529.08,1076.27,34.17,
ne02_kuku,ne02,892.95,1113.98,52.04,
ne02_kuku1,ne02,336.99,1143.45,55.40,
ne02_kuku2,ne02,481.30,1141.18,47.83,
ne02_paka,ne02,761.80,1680.30,19.46,
ne02_paka1,ne02,863.92,1521.54,17.04,
ne02_paka2,ne02,1055.36,1785.00,15.66,
ne02_peke,ne02,544.66,2393.68,40.68,
ne02_peke1,ne02,525.19,2456.19,8.64,
ne02_peke2,ne02,529.60,2469.49,34.95,
ne02_piki,ne02,346.27,2627.83,5.52,
ne02_piki1,ne02,380.97,2710.23,6.70,
ne02_piki2,ne02,445.66,2643.52,7.25,
ne02_poko,ne02,578.32,1034.92,16.34,
ne02_poko1,ne02,1021.82,2160.31,21.65,
ne02_poko2,ne02,616.31,1564.72,19.21,
ne02_puku,ne02,436.62,1053.90,22.98,
ne02_puku1,ne02,493.96,1209.62,31.07,
ne02_puku2,ne02,449.36,1261.87,21.68,
ne02_taka,ne02,449.36,1261.87,21.68,
ne02_taka1,ne02,828.28,1591.14,11.83,
ne02_taka2,ne02,807.68,1661.53,21.70,
ne02_teke,ne02,518.18,2397.23,22.75,
ne02_teke1,ne02,479.72,2481.82,27.88,
ne02_teke2,ne02,665.31,1854.87,28.77,
ne02_tiki,ne02,299.92,2860.63,31.38,
ne02_tiki1,ne02,314.76,2752.52,28.48,
ne02_tiki2,ne02,291.64,2705.72,28.00,
ne02_toko,ne02,500.19,994.39,27.27,
ne02_toko1,ne02,595.35,1155.93,45.13,
ne02_toko2,ne02,536.02,1020.34,28.51,
ne02_tuku,ne02,469.89,1304.34,32.55,
ne02_tuku1,ne02,441.39,1121.08,36.65,
ne02_tuku2,ne02,732.00,1468.51,32.44,
